Institution,Research Area,TRL,Description,Link
"NIST (Gaithersburg)","Quantum Sensors & Detectors; Quantum Metrology","TRL 8","National laboratory developing highly specialized quantum measurement tools, including single-photon detectors, precision sensors, and quantum measurement systems.","https://www.nist.gov/cybersecurity-and-privacy/what-post-quantum-cryptography"
"UMD:LPS Qubit Collaboratory","Solid-State Qubits; Superconducting Qubits; Quantum Computing Hardware; Cryogenic Quantum Systems","TRL 5","Research collaboration focused on superconducting and solid-state qubit technologies, quantum processors, and improving scalability of quantum computing hardware.","https://www.qubitcollaboratory.org"
"UMD:The National Quantum Laboratory (QLab)","Quantum Computing; Quantum Workforce; Quantum Technology Ecosystem","TRL 5-6","National-scale quantum initiative focused on advancing quantum technologies, workforce development, and partnerships connecting academia, government, and industry.","https://qlab.umd.edu"
"UMD:Quantum Materials Center (QMC)","Quantum Materials; Superconductivity; Topological Materials","TRL 2-4","Research center studying quantum materials that enable future quantum devices, including superconductors and novel electronic materials.","https://qmc.umd.edu"
"UMD:Condensed Matter Theory Center","Quantum Many-Body Physics; Theoretical Condensed Matter; Quantum Simulation","TRL 1-3","Theoretical research investigating quantum phenomena, many-body systems, and fundamental physics supporting future quantum technologies.","https://physics.umd.edu/cmtc"
"UMD:QuICS","Quantum Algorithms; Quantum Information Theory; Quantum Cryptography; Quantum Computing Software","TRL 1-5","Interdisciplinary center researching quantum information science, quantum algorithms, cryptography, and theoretical foundations of quantum computing.","https://quics.umd.edu"
"UMD:Joint Quantum Institute (JQI)","Quantum Optics; Atomic Physics; Quantum Information; Quantum Simulation","TRL 2-5","Major quantum science institute studying atomic systems, quantum optics, and experimental platforms for quantum technologies.","https://jqi.umd.edu"
"UMD:Quantum Technology Center (QTC)","Quantum Sensing; Quantum Communication; Quantum Devices","TRL 3-6","Center developing practical quantum technologies including quantum sensors, communication systems, and emerging quantum devices.","https://qtc.umd.edu"
"Johns Hopkins APL","Quantum Error Testing; Noise & Interference Testing; Quantum Hardware Reliability","TRL 5","Researching how quantum systems respond to environmental effects, including radiation and cosmic-ray-induced noise in superconducting qubits.","https://www.jhuapl.edu/work/impact/quantum-technologies"
"Howard University Quantum Lab","Quantum Materials; Quantum Sensors; Quantum Devices","TRL 3","Hands-on research exploring quantum materials and sensor technologies for future quantum applications.","https://www.qresearch.info/home"
"Lockheed Martin (Bethesda)","Defense Quantum Systems; Hardware Integration; Quantum Optimization","TRL 7","Developing and integrating quantum technologies into defense-related platforms, including quantum sensing and computational applications.","https://www.lockheedmartin.com/en-us/capabilities/quantum-technology.html"
"IonQ (College Park)","Trapped-Ion Quantum Computing; Quantum Processors","TRL 8","Commercial quantum computing company developing trapped-ion quantum computers and providing access to operational quantum hardware.","https://www.ionq.com"
"Naval Research Laboratory (NRL)","Quantum Encryption Protocols; Free-Space & Maritime QKD; Quantum Optics & Atomic Clocks","TRL 4-7","Naval defense laboratory conducting physical field testing for maritime quantum key distribution, tactical quantum encryption protocols, and ultra-precise atomic clocks.","https://www.nrl.navy.mil/Our-Work/Areas-of-Research/Quantum-Research"
"MITRE Corporation (McLean)","PQC Migration Frameworks; Quantum Network Interoperability; Quantum Hardware Evaluation","TRL 4-6","Federally funded R&D center building migration roadmaps for PQC standards, testing quantum network interoperability, and benchmarking hardware architectures.","https://www.mitre.org/news-insights/news-release/post-quantum-cryptography-coalition-unveils-pqc-migration-roadmap"
